realtime_start,realtime_end,date,value,QoQ
2025-09-24,2025-09-24,2000-01-01,14144.962,
2025-09-24,2025-09-24,2001-01-01,14294.624,1.06
2025-09-24,2025-09-24,2002-01-01,14529.585,1.64
2025-09-24,2025-09-24,2003-01-01,14949.293,2.89
2025-09-24,2025-09-24,2004-01-01,15542.707,3.97
2025-09-24,2025-09-24,2005-01-01,16075.089,3.43
2025-09-24,2025-09-24,2006-01-01,16483.539,2.54
2025-09-24,2025-09-24,2007-01-01,16867.78,2.33
2025-09-24,2025-09-24,2008-01-01,16940.097,0.43
2025-09-24,2025-09-24,2009-01-01,16514.062,-2.51
2025-09-24,2025-09-24,2010-01-01,17013.917,3.03
2025-09-24,2025-09-24,2011-01-01,17306.204,1.72
2025-09-24,2025-09-24,2012-01-01,17686.281,2.2
2025-09-24,2025-09-24,2013-01-01,18049.236,2.05
2025-09-24,2025-09-24,2014-01-01,18499.72,2.5
2025-09-24,2025-09-24,2015-01-01,19021.225,2.82
2025-09-24,2025-09-24,2016-01-01,19372.908,1.85
2025-09-24,2025-09-24,2017-01-01,19905.052,2.75
2025-09-24,2025-09-24,2018-01-01,20490.925,2.94
2025-09-24,2025-09-24,2019-01-01,21000.945,2.49
2025-09-24,2025-09-24,2020-01-01,20482.341,-2.47
2025-09-24,2025-09-24,2021-01-01,21648.657,5.69
2025-09-24,2025-09-24,2022-01-01,22176.949,2.44
2025-09-24,2025-09-24,2023-01-01,22769.38,2.67
2025-09-24,2025-09-24,2024-01-01,23368.468,2.63
